Feature,Importance
price_vs_property_avg,0.33021884906697063
price_vs_district_avg,0.2043063160101001
price_vs_area_avg,0.18795523188509555
property_year_avg_price,0.0781653140308292
district_avg_price,0.05732285453124379
area_avg_price,0.05330256938388065
area_price_stddev,0.01170618241577031
area_transaction_count,0.003431240086198423
district_transaction_count,0.0024420053440196627
days_since_2019,0.0011725784599688832
year,0.0007692249296289009
month,0.0004410308694603757
day_of_week,0.0002440348225954102
has_locality,0.00017228100018388992
quarter,0.00011457036125022674
has_street,8.840534402889953e-05
is_weekend,0.0
